time,x,y,z,u_nom_x,u_nom_y,u_nom_z,u_safe_x,u_safe_y,u_safe_z,active_index,poisson_h,pivot_value,reachable_count,V1,V2,V3,V4,poisson_residual,active_hj_residual,omega_active,omega_contingency,qp_solve_ms,qp_success
4.56,7.3473717173164665,6.178916009662388,7.117570590078042,1.4673811305589142,0.7315894412943379,-0.4489649285481899,1.4673811305589142,0.7315894412943379,-0.4489649285481899,0,0.43629878846432274,13.184369263412549,4,11.366730693115878,12.570462811702228,13.184369263412549,14.922521904403709,0.9706795733385873,49.4706498191315,0.0,0.0,0.26298200100427493,1
4.68,7.5234574529835365,6.266706742617709,7.06369479865226,1.467381130558914,0.731589441294338,-0.44896492854819015,1.467381130558914,0.731589441294338,-0.44896492854819015,0,0.46916512125835363,13.361739938317653,4,11.594034471887685,12.739577020582455,13.361739938317653,15.041088213744827,1.0109287042496207,49.44039767971596,0.0,0.0,0.27466299798106775,1
4.8,7.6995431886506065,6.354497475573029,7.0098190072264766,1.467381130558914,0.731589441294338,-0.44896492854819,1.467381130558914,0.731589441294338,-0.44896492854819,0,0.50075003714801,13.558481426323416,4,11.819810343752817,12.908691229462685,13.558481426323416,15.138289765307817,1.0396168381292898,49.408953138751535,0.0,0.0,0.2764970049611293,1
4.92,7.8756289243176765,6.44228820852835,6.955943215800694,1.467381130558914,0.7315894412943381,-0.44896492854819015,1.467381130558914,0.7315894412943381,-0.44896492854819015,0,0.5293769668655479,13.773347731359019,4,12.04405830871127,13.07780543834291,13.773347731359019,15.204025171931537,1.0474039647304352,49.3760715958137,0.0,0.0,0.2590360018075444,1
5.04,8.051714659984746,6.53007894148367,6.902067424374911,1.467381130558914,0.7315894412943383,-0.44896492854819003,1.467381130558914,0.7315894412943383,-0.44896492854819003,0,0.5578974648184194,13.985430224225466,4,12.266160675876302,13.246919647223137,13.985430224225466,15.253527050440004,1.0466835327455182,49.34184716676394,0.0,0.0,0.26001199876191095,1
5.16,8.227800395651816,6.617869674438991,6.848191632949128,1.467381130558914,0.7315894412943382,-0.44896492854818976,1.467381130558914,0.7315894412943382,-0.44896492854818976,0,0.5880304262304513,14.142949150950438,4,12.487876055691407,13.416033856103363,14.142949150950438,15.34722879020262,1.049451572801076,49.308859926802015,0.0,0.0,0.2608620052342303,1
5.279999999999999,8.403886131318885,6.705660407394311,6.794315841523345,1.4673811305589137,0.7315894412943381,-0.4489649285481898,1.4673811305589137,0.7315894412943381,-0.4489649285481898,0,0.5808680942887233,14.292740082162473,4,12.719116853959457,13.585148064983589,14.292740082162473,15.485934406332799,0.9601604282866872,49.28211256351489,0.0,0.0,0.2563110028859228,1
5.3999999999999995,8.579971866985954,6.793451140349632,6.740440050097563,1.4673811305589142,0.731589441294338,-0.44896492854819003,1.4673811305589142,0.731589441294338,-0.44896492854819003,0,0.5640484510250395,14.463129922824564,4,12.949424354461122,13.754262273863812,14.463129922824564,15.629335502542244,0.8435820066346338,49.25389366694859,0.0,0.0,0.26135100051760674,1
5.52,8.756057602653023,6.881241873304952,6.68656425867178,1.4673811305589142,0.731589441294338,-0.4489649285481896,1.4673811305589142,0.731589441294338,-0.4489649285481896,0,0.5568580923307183,14.6811824536316,4,13.176026515014934,13.923376482744038,14.6811824536316,15.78618551101062,0.7569183683867509,49.22223803619748,0.0,0.0,0.2481560004525818,1
5.64,8.932143338320092,6.9690326062602725,6.632688467245997,1.4673811305589144,0.7315894412943379,-0.44896492854818987,1.4673811305589144,0.7315894412943379,-0.44896492854818987,0,0.5413598050521748,14.882449174856289,4,13.401392156560195,14.092490691624265,14.882449174856289,15.943035519478999,0.6612294894680362,49.19010650181043,0.0,0.0,0.2527739998186007,1
